name,ceed,fafsa
MARIST COLLEGE,2400,002765-00
OAKTON COMMUNITY COLLEGE,1573,009896-00
DRAKE UNIVERSITY,6168,001860-00
DES MOINES AREA COMMUNITY COLLEGE,,007120-00
COMMUNITY COLLEGE OF VERMONT,3286,011167-00
DREXEL UNIVERSITY,2194,003256-00
SUNY SUFFOLK COUNTY CC - BRENTWOOD,,002878-01
QUINNIPIAC UNIVERSITY,,001402-00
ASSUMPTION COLLEGE,3009,002118-00
BRYANT UNIVERSITY,,003402-00
BOSTON COLLEGE,3083,002128-00
ST LAWRENCE UNIVERSITY,2805,002829-00
HOBART & WILLIAM SMITH COLLEGES,,002731-00
CONNECTICUT COLLEGE,3284,001379-00
SETON HALL UNIVERSITY,2811,002632-00
BRIDGEWATER STATE UNIVERSITY,,002183-00
WORCESTER STATE UNIVERSITY,,002190-00
MARIST COLLEGE,2400,002765-00
FRAMINGHAM STATE UNIVERSITY,,002185-00
GREENSBORO COLLEGE,5260,002930-00
NORTHERN VIRGINIA COMMUNITY COLLEGE,,003727-00
ST JOHNS UNIVERSITY,,002823-00
BARTON COMMUNITY COLLEGE,,004608-00
HOUSTON COMMUNITY COLLEGE,,010633-00
UNIVERSITY OF HOUSTON,6922,003652-00
MARYMOUNT UNIVERSITY,4403,003724-00
WENTWORTH INSTITUTE OF TECHNOLOGY,,002225-00
SUNY SUFFOLK COUNTY COMMUNITY COLLEGE,,002878-00
UNIVERSITY OF MASSACHUSETTS AT LOWELL,,002161-00
MIDDLESEX COMMUNITY COLLEGE,3554,009936-00
SUFFOLK UNIVERSITY,3771,002218-00
UNIVERSITY OF MASSACHUSETTS-DARTMOUTH,,002210-00
WAKE TECHNICAL COMMUNITY COLLEGE,,004844-00
SYRACUSE UNIVERSITY,2023,002882-00
UNIVERSITY OF PHOENIX,,020988-00
UNIVERSITY OF NEW HAMPSHIRE,,002589-00
TUSKEGEE UNIVERSITY,,001050-00
URBANA UNIVERSITY,1847,003133-00
SUNY WESTCHESTER COMMUNITY COLLEGE,,002881-00
EDINBORO UNIVERSITY OF PENNSYLVANIA,,003321-00
MERCY COLLEGE,2278,002772-00
UNIVERSITY OF NORTH CAROLINA - CHARLOTTE,,002975-00
ELMIRA COLLEGE,2226,002718-00
THREE RIVERS COMMUNITY COLLEGE,6836,009765-00
UNIVERSITY OF MASSACHUSETTS BOSTON,3924,002222-00
NORTH SHORE COMMUNITY COLLEGE,3651,002173-00
EASTERN MICHIGAN UNIVERSITY,1201,002259-00
SACRED HEART UNIVERSITY,3780,001403-00
UNIVERSITY OF SOUTHERN MAINE,,002054-00
NORTHEASTERN UNIVERSITY,3667,002199-00
SAINT ANSELM COLLEGE,3748,002587-00
DANIEL WEBSTER COLLEGE,3648,004731-00
SAINT MICHAELS COLLEGE,3757,003694-00
SALVE REGINA UNIVERSITY,3759,003411-00
NASHUA COMMUNITY COLLEGE,,009236-00
PLYMOUTH STATE UNIVERSITY,,002591-00
NHTI - CONCORD'S COMMUNITY COLLEGE,,002581-00
SAINT FRANCIS UNIVERSITY,,003366-00
EAST CAROLINA UNIVERSITY,5180,002923-00
LYNN UNIVERSITY,,001505-00
CALDWELL COLLEGE,2072,002598-00
BERGEN COMMUNITY COLLEGE,2032,004736-00
SIENA COLLEGE,2814,002816-00
SADDLEBACK COLLEGE,,008918-00
IOWA STATE UNIVERSITY,6306,001869-00
ROGER WILLIAMS UNIVERSITY,,003410-00
NEW ENGLAND INSTITUTE OF TECHNOLOGY,,007845-00
SOUTHERN NEW HAMPSHIRE UNIVERSITY- UNGRA,,002580-91
CLARKSON UNIVERSITY,2699,002699-00
UNIVERSITY OF CONNECTICUT,,001417-00
LARAMIE COUNTY COMMUNITY COLLEGE,,009259-00
UNIVERSITY OF WYOMING,4855,003932-00
ARCADIA UNIVERSITY,,003235-00
MONTGOMERY COUNTY COMMUNITY COLLEGE,,004452-00
HOFSTRA UNIVERSITY,2295,002732-00
MERRIMACK COLLEGE,3525,002120-00
THE OHIO STATE UNIVERSITY,,003090-00
OHIO WESLEYAN UNIVERSITY,1594,003109-00
HARVARD UNIVERSITY - CONTINUING ED,,002155-03
FRANKLIN PIERCE UNIVERSITY,,002575-00
DEAN COLLEGE,,002144-00
PURDUE UNIVERSITY - WEST LAFAYETTE,,001825-00
SUNY HUDSON VALLEY COMMUNITY COLLEGE,,002868-00
SUNY ADIRONDACK COMM COLL,,002860-00
AMERICAN INTERNATIONAL COLLEGE,3002,002114-00
MASSASOIT COMMUNITY COLLEGE,3549,002177-00
UNION COLLEGE,3010,002889-00
MASSACHUSETTS MARITIME ACADEMY,,002181-00
SOUTHERN NEW HAMPSHIRE- 09WEEK,,002580-92
FERRIS STATE UNIVERSITY,1222,002260-00
SUNY CLINTON COMMUNITY COLLEGE,,006787-00
SUNY ROCKLAND COMMUNITY COLLEGE,,002877-00
BREVARD COLLEGE,5067,002912-00
TRIDENT TECHNICAL COLLEGE,,004920-00
MANCHESTER COMMUNITY COLLEGE,,001392-00
SUNY ONONDAGA COMMUNITY COLLEGE,,002875-00
MONTANA STATE UNIVERSITY - BOZEMAN,,002532-00
MOUNT IDA COLLEGE,3530,002193-00
SAINT JOSEPH'S COLLEGE OF MAINE,,002051-00
SOUTHERN MAINE COMMUNITY COLLEGE,,005525-00
SOUTHERN CONNECTICUT STATE UNIVERSITY,3662,001406-00
CURRY COLLEGE,3285,002143-00
NEW ENGLAND COLLEGE-SEMESTERS,,002579-00
"UNIVERSITY OF MAINE, ORONO",,002053-00
STATE FAIR COMMUNITY COLLEGE,6709,008080-00
EMBRY-RIDDLE AERONAUTICAL UNIV.-WORLDWID,,001479-01
NORTHERN ESSEX COMMUNITY COLLEGE,,002174-00
SUNY COLLEGE OF TECHNOLOGY AT CANTON,,002855-00
SOUTHERN NEW HAMPSHIRE UNIVERSITY- UNGRA,,002580-91
COMMUNITY COLLEGE OF RHODE ISLAND,,003408-00
LAKE FOREST COLLEGE,1392,001706-00
TUNXIS COMMUNITY COLLEGE,,009764-00
NORTH CAROLINA STATE UNIVERSITY,,002972-00
TEXAS CHRISTIAN UNIVERSITY,6820,003636-00
TARRANT COUNTY COLLEGE,,003626-00
KEENE STATE COLLEGE,3472,002590-00
MASSACHUSETTS BAY COMMUNITY COLLEGE,,002171-00
WESTFIELD STATE UNIVERSITY,,002189-00
MIAMI DADE COLLEGE,,001506-00
KENT STATE UNIVERSITY,,003051-00
PALOMAR COLLEGE,4602,001260-00
"UNIVERSITY OF ALABAMA, BIRMINGHAM-TRADIT",,001052-00
BIRMINGHAM-SOUTHERN COLLEGE,,001012-00
CENTRAL CONNECTICUT STATE UNIVERSITY,,001378-00
RHODE ISLAND COLLEGE,3724,003407-00
DOWLING COLLEGE,2011,002667-00
NASSAU COUNTY COMMUNITY COLLEGE,,002873-00
MOUNT ST MARY'S UNIVERSITY,,002086-00
HUSSON COLLEGE,3440,002043-00
HUSSON UNIVERSITY,,002043-00
GORDON COLLEGE,3417,002153-00
SALEM STATE UNIVERSITY,5909,002188-00
UNIVERSITY OF NORTHERN COLORADO,,001349-00
